id,name,artist,explicit,popularity,danceability,energy,loudness,speechiness,duration_ms,duena,carita
5itOtNx0WxtJmi1TQ3RuRd,Giant (with Rag'n'Bone Man),Calvin Harris,False,75,0.807,0.887,-4.311,0.0361,229184,mile,
5plG80hc7j4siXDhcUamjU,Promises - David Guetta Remix,Calvin Harris,False,0,0.588,0.697,-4.744,0.0372,190417,mile,
5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),Calvin Harris,False,78,0.781,0.768,-5.991,0.0394,213309,mile,
7cOiJFL8IiZVAPBZtNW5a8,One Kiss - R3HAB Remix,Calvin Harris,False,0,0.59,0.919,-3.314,0.146,190866,mile,
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,False,89,0.791,0.862,-3.24,0.11,214847,mile,
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,False,78,0.803,0.585,-5.861,0.0432,214480,mile,
7nD9nN3jord9wWcfW3Gkcm,All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,False,63,0.689,0.791,-5.194,0.053,210573,mile,
4pLwZjInHj3SimIyN9SnOz,Side To Side,Ariana Grande,True,0,0.648,0.738,-5.883,0.247,226160,mile,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
7yHEDfrJNd0zWOfXwydNH0,Into You,Ariana Grande,False,0,0.636,0.727,-5.852,0.106,244453,mile,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
3kfxarilcBr81mb2hmZLeh,Needed Me,Rihanna,True,0,0.671,0.314,-8.091,0.244,191600,mile,
14WWzenpaEgQZlqPq2nk4v,Work,Rihanna,True,0,0.725,0.534,-6.238,0.0946,219320,mile,
5lnsCyEKWofnC00U4Ax0ti,Bitch Better Have My Money,Rihanna,True,0,0.781,0.728,-4.981,0.0621,219306,mile,
5pH3JYlR9YNkxsCe74UsUH,I Ain't Your Mama,Veronica Jax,False,27,0.718,0.703,-8.049,0.0829,219067,mile,
454h9zAIuTe1eJyw9iTnj4,Man Down,Rihanna,True,62,0.479,0.906,-4.03,0.188,266987,mile,
